Time , q_dni , Wind_vel , T_ambient , Q_loss , DeltaH , Eff , T_out , T_in
280 , 513.889 , 0.7 , 31.3 , 535.669 , 1174.72 , 0.329717 , 71.6715 , 66.4804 , 
285 , 15.3682 , 0.2 , 31.4 , 409.156 , 208.434 , 0.98 , 70.3539 , 69.434 , 
290 , 509.991 , 0.6 , 31.8 , 509.857 , 1269.32 , 0.358993 , 75.7755 , 70.1995 , 
295 , 45.263 , 1.1 , 31.9 , 426.376 , 204.413 , 0.651392 , 74.563 , 73.6666 , 
300 , 326.14 , 0.8 , 31.3 , 489.855 , 765.914 , 0.33873 , 77.7717 , 74.4229 , 
305 , 328.803 , 0.8 , 31.9 , 474.537 , 758.105 , 0.33256 , 79.9528 , 76.6493 , 
310 , 331.242 , 1 , 32.1 , 455.529 , 823.977 , 0.358795 , 83.11 , 79.5359 , 
315 , 356.409 , 1.1 , 32.6 , 436.039 , 843.747 , 0.341461 , 86.1631 , 82.52 , 
320 , 389.179 , 0.3 , 33.2 , 414.014 , 1014.41 , 0.37596 , 90.146 , 85.7902 , 
325 , 414.642 , 0.6 , 33.2 , 392.729 , 1007.5 , 0.350469 , 93.7409 , 89.4386 , 
330 , 372.209 , 0.3 , 33 , 373.985 , 936.537 , 0.362924 , 97.3055 , 93.329 , 
335 , 372.554 , 2.1 , 32.4 , 374.775 , 914.888 , 0.354206 , 100.72 , 96.8563 , 
340 , 337.705 , 1.1 , 32.3 , 371.276 , 818.155 , 0.349442 , 103.692 , 100.253 , 
345 , 273.623 , 1.4 , 31.9 , 356.577 , 641.791 , 0.338312 , 105.967 , 103.281 , 
350 , 391.555 , 0.8 , 32.6 , 401.927 , 918.069 , 0.338189 , 109.613 , 105.788 , 
355 , 391.535 , 0.4 , 32.2 , 416.033 , 929.011 , 0.342237 , 112.961 , 109.11 , 
360 , 388.203 , 1.2 , 32.9 , 428.314 , 939.364 , 0.349022 , 116.415 , 112.542 , 
