Time , q_dni , Wind_vel , T_ambient , Q_loss , DeltaH , Eff , T_out , T_in
280 , 513.889 , 0.7 , 31.3 , 299.731 , 172.599 , 0.53525 , 63.7863 , 63.2094 , 
285 , 15.3682 , 0.2 , 31.4 , 360.631 , 210.372 , 0.538467 , 64.5984 , 63.8961 , 
290 , 509.991 , 0.6 , 31.8 , 380.796 , 1734.11 , 0.901067 , 70.4556 , 64.6952 , 
295 , 45.263 , 1.1 , 31.9 , 363.244 , 188.676 , 0.509526 , 68.9815 , 68.3558 , 
300 , 326.14 , 0.8 , 31.3 , 361.097 , 805.367 , 0.816872 , 71.9144 , 69.2512 , 
305 , 328.803 , 0.8 , 31.9 , 342.065 , 1242.77 , 0.879026 , 76.4569 , 72.3711 , 
310 , 331.242 , 1 , 32.1 , 323.609 , 1189.33 , 0.880245 , 79.821 , 75.9314 , 
315 , 356.409 , 1.1 , 32.6 , 304.432 , 1073 , 0.875764 , 83.0855 , 79.5949 , 
320 , 389.179 , 0.3 , 33.2 , 296.399 , 976.654 , 0.86825 , 86.631 , 83.4717 , 
325 , 414.642 , 0.6 , 33.2 , 306.981 , 988.326 , 0.865573 , 90.3301 , 87.151 , 
330 , 372.209 , 0.3 , 33 , 313.282 , 947.052 , 0.858076 , 93.8843 , 90.8547 , 
335 , 372.554 , 2.1 , 32.4 , 319.897 , 894.538 , 0.848316 , 97.2169 , 94.3702 , 
340 , 337.705 , 1.1 , 32.3 , 323.918 , 829.265 , 0.836607 , 100.312 , 97.6858 , 
345 , 273.623 , 1.4 , 31.9 , 321.045 , 697.258 , 0.812863 , 102.917 , 100.719 , 
350 , 391.555 , 0.8 , 32.6 , 336.443 , 764.457 , 0.819636 , 105.706 , 103.305 , 
355 , 391.535 , 0.4 , 32.2 , 359.383 , 864.992 , 0.827994 , 108.909 , 106.205 , 
360 , 388.203 , 1.2 , 32.9 , 371.31 , 874.019 , 0.8248 , 112.129 , 109.411 , 
365 , 408.051 , 0.3 , 32.7 , 389.867 , 917.921 , 0.824835 , 115.503 , 112.663 , 
370 , 432.024 , 1 , 33.4 , 407.906 , 969.686 , 0.826222 , 119.053 , 116.068 , 
375 , 397.936 , 2.7 , 33 , 421.652 , 936.025 , 0.81617 , 122.494 , 119.629 , 
380 , 367.632 , 1.3 , 32 , 431.672 , 848.447 , 0.797201 , 125.602 , 123.018 , 
385 , 369.686 , 2.6 , 32.2 , 442.321 , 808.401 , 0.78519 , 128.544 , 126.093 , 
390 , 381.221 , 2.4 , 32.1 , 458.168 , 815.033 , 0.780595 , 131.502 , 129.042 , 
395 , 396.893 , 1.6 , 31.8 , 476.871 , 840.173 , 0.778942 , 134.543 , 132.019 , 
400 , 407.344 , 0.7 , 32.2 , 494.215 , 861.608 , 0.777123 , 137.658 , 135.082 , 
405 , 404.07 , 0.8 , 32.3 , 510.538 , 855.329 , 0.770152 , 140.75 , 138.205 , 
410 , 398.467 , 1.6 , 33 , 523.968 , 831.971 , 0.760517 , 143.751 , 141.287 , 
415 , 419.014 , 1 , 33.2 , 542.41 , 848.089 , 0.7577 , 146.792 , 144.291 , 
420 , 418.611 , 1.4 , 32.4 , 564.008 , 860.887 , 0.753254 , 149.877 , 147.351 , 
425 , 419.237 , 2.2 , 32.5 , 584.256 , 877.775 , 0.750297 , 153.026 , 150.463 , 
430 , 370.805 , 0.6 , 32.2 , 596.367 , 784.983 , 0.724711 , 155.857 , 153.575 , 
435 , 364.989 , 1.9 , 32.2 , 609.076 , 725.873 , 0.70445 , 158.446 , 156.344 , 
440 , 395.501 , 2 , 32.1 , 629.969 , 764.629 , 0.708243 , 161.151 , 158.945 , 
445 , 411.444 , 1.1 , 32.5 , 651.142 , 807.581 , 0.712686 , 164.015 , 161.696 , 
450 , 419.229 , 2 , 32.6 , 672.094 , 823.895 , 0.71029 , 166.935 , 164.58 , 
455 , 418.245 , 0.7 , 32.1 , 693.285 , 815.848 , 0.70181 , 169.827 , 167.504 , 
460 , 440.089 , 2.1 , 32.2 , 716.144 , 842.743 , 0.701809 , 172.794 , 170.406 , 
465 , 432.127 , 0.4 , 31.9 , 737.684 , 829.392 , 0.692179 , 175.728 , 173.388 , 
470 , 367.755 , 1.8 , 32.5 , 746.036 , 690.856 , 0.649378 , 178.199 , 176.257 , 
475 , 377.009 , 0.8 , 32.4 , 761.495 , 651.551 , 0.631165 , 180.479 , 178.654 , 
480 , 353.346 , 2.5 , 32.2 , 776.579 , 612.947 , 0.61219 , 182.635 , 180.924 , 
485 , 385.351 , 1.1 , 31.9 , 799.298 , 669.259 , 0.626115 , 184.962 , 183.1 , 
490 , 409.892 , 1.7 , 31.9 , 823.398 , 729.668 , 0.639293 , 187.503 , 185.481 , 
495 , 400.22 , 1.1 , 32.7 , 841.178 , 717.448 , 0.630426 , 190.02 , 188.039 , 
500 , 394.518 , 1.3 , 32.4 , 860.532 , 689.779 , 0.615849 , 192.431 , 190.533 , 
505 , 433.5 , 1.1 , 32.4 , 886.239 , 752.634 , 0.629422 , 195.03 , 192.967 , 
510 , 430.416 , 0.6 , 32 , 910.344 , 757.118 , 0.624535 , 197.673 , 195.605 , 
515 , 444.254 , 2.2 , 32.4 , 933.504 , 770.278 , 0.622683 , 200.343 , 198.248 , 
520 , 445.348 , 1 , 32.2 , 957.627 , 766.108 , 0.615387 , 203.006 , 200.929 , 
525 , 433.401 , 1.1 , 32.1 , 978.904 , 727.81 , 0.597907 , 205.539 , 203.574 , 
530 , 428.799 , 0.6 , 32.3 , 999.186 , 697.383 , 0.582621 , 207.957 , 206.081 , 
535 , 424.417 , 3 , 32.9 , 1018.15 , 671.63 , 0.568837 , 210.284 , 208.483 , 
540 , 444.578 , 0.4 , 32 , 1046.27 , 715.301 , 0.577585 , 212.726 , 210.814 , 
545 , 403.556 , 1.1 , 32.3 , 1063.88 , 647.22 , 0.548883 , 214.99 , 213.266 , 
550 , 425.456 , 1.1 , 31.8 , 1088.35 , 662.12 , 0.548886 , 217.253 , 215.495 , 
555 , 346.734 , 0.9 , 31.9 , 1097.36 , 497.155 , 0.475366 , 219.02 , 217.703 , 
560 , 279.749 , 1.8 , 31.5 , 1100.13 , 309.527 , 0.360086 , 220.12 , 219.302 , 
565 , 278.147 , 0.5 , 31.5 , 1107.31 , 266.933 , 0.325294 , 221.024 , 220.319 , 
570 , 245.815 , 0.8 , 31.5 , 1110.52 , 193.045 , 0.257976 , 221.698 , 221.189 , 
575 , 217.808 , 0.4 , 31.3733 , 1111.01 , 114.566 , 0.170975 , 222.094 , 221.792 , 
580 , 239.952 , 1.2 , 31.2467 , 1117.57 , 142.846 , 0.203591 , 222.551 , 222.175 , 
585 , 300.553 , 1.4 , 31.12 , 1133.7 , 273.668 , 0.325595 , 223.436 , 222.716 , 
590 , 262.15 , 0.4 , 30.9933 , 1139 , 215.738 , 0.274742 , 224.196 , 223.629 , 
595 , 202.209 , 0.5 , 30.8667 , 1134.75 , 68.9264 , 0.108324 , 224.456 , 224.275 , 
600 , 118.765 , 0.3 , 30.74 , 1121.13 , -124.8 , 0 , 224.053 , 224.381 , 
605 , 128.176 , 1 , 30.6133 , 1115.38 , -138.95 , 0 , 223.536 , 223.902 , 
610 , 107.863 , 0.6 , 30.4867 , 1107.4 , -174.991 , 0 , 222.923 , 223.384 , 
615 , 100.281 , 0.8 , 30.36 , 1099.14 , -198.373 , 0 , 222.217 , 222.739 , 
620 , 81.9564 , 2.6 , 30.2333 , 1088.75 , -237.485 , 0 , 221.384 , 222.01 , 
625 , 65.4527 , 1.7 , 30.1067 , 1076.88 , -277.422 , 0 , 220.409 , 221.141 , 
630 , 62.3968 , 1.1 , 29.98 , 1066.07 , -288.325 , 0 , 219.386 , 220.148 , 
635 , 35.8187 , 1.3 , 29.8533 , 1051.47 , -340.072 , 0 , 218.201 , 219.101 , 
640 , 37.9736 , 0.1 , 29.7267 , 1039.06 , -344.616 , 0 , 216.977 , 217.891 , 
