27.1,0,0
27.1,0,0
27.1,0,0
27.1,0,0
27.1,0,0
27.1,0,0
27.1,0,0
27.1,0.8,0
27.1,0.4,0
27.1,0.3,2.1
27.1,0.9,6
27.1,2.2,10.8
27.1,1.7,16.4
27.1,1.1,24.7
27.1,0.8,31.2
27.1,1.8,37.7
27.1,0.4,44.2
27.1,0.5,53.3
27.1,0.7,59.8
27.1,1,74.5
27.1,2.4,85
27.1,0.2,98.4
27.1,1,100.6
27.1,0.8,109.2
27.1,1.5,111.8
27.1,0.3,151
27.3,0,131.4
27.5,0,163.1
28.2,0,351.7
28.8,0.6,386.5
28.8,0.6,386.5
29.2,0.1,434.7
29.2,0.3,460.2
29.1,0.6,497.1
29.6,0.2,530.1
29.8,0.6,529.2
29.8,0.4,550
30.3,0.5,579.1
30,1,276.7
29.4,0.5,240.8
29.3,0.6,647.6
30.3,0.8,706.2
29.9,1.9,697.6
29.8,0.4,731.3
29.8,0.4,731.3
30.5,0.4,726.7
30.8,0.4,712.8
31.1,0.4,708.5
31.3,0.4,696.2
31.9,0.7,645.1
31.6,0.4,682.4
31.4,0.5,491.1
31.5,0.8,780.8
31.7,0.1,774.3
31.9,0.8,554.8
31.3,1,312.7
30.8,0.1,827.6
31.4,0.3,832.9
31.6,0.2,822.8
31.9,0,879.7
31.2,0,252.9
31.2,0.1,333.1
31.2,0,629.4
31.3,0.5,359.2
31,0.1,245.5
30.9,0.4,311.8
30.9,0.9,807.7
31,1.2,833.4
31.8,0.8,811.6
31.6,1.7,840.7
32.2,0.6,817.7
32.1,0.8,848.9
32.1,0.5,855.4
31.9,1.5,819
31.8,1.1,833.7
31.6,0.3,839.3
32,0.9,838.1
31.9,1.7,813.8
32.2,0.6,817.7
31.9,1.1,843.3
31.5,2.2,826.4
31.9,1.6,829.4
31.3,1.5,825
31.5,2.1,816.4
31.5,0.4,771.2
31.8,1.5,793.4
31.1,1.8,828.6
31.2,0.9,816.8
31.3,0,672.9
31.5,0.6,766.1
31.8,0.5,755.2
32.7,0.7,763.5
32.8,1.4,759.1
32.2,0.3,429.9
31.4,0.6,367.9
31.2,0.8,585.1
32,0.4,522.7
32.2,0.3,591.3
32.7,0.9,607.3
32.6,2.2,596
31.7,1.7,492.3
30.9,1.1,445.9
31.3,0.8,485.4
31.9,1.8,517
31.6,0.4,492.8
32.5,0.5,471.1
31.7,0.7,431.1
31.6,1,420.7
31.7,2.4,392.6
31,0.2,376.6
31.3,1,368.7
31.5,0.8,364.8
31.7,1.5,363.9
31,0.3,252.9
30.3,1.7,268.5
30.3,1.6,268
30.4,0.6,260.7
30.6,0.6,229
30.3,0.9,222.5
30.3,0.6,205.5
30.4,0.7,197.8
30.1,0.9,187.8
30.3,0.9,162.6
30.2,0.6,151
30,0.5,109.2
29.7,1.1,100.6
29.8,0.5,111.8
29.8,0.6,98.4
29.5,1.2,85
29.6,0.5,74.5
29.4,1.1,59.8
28.9,0.1,53.3
28.6,0.6,44.2
28.4,0.6,37.7
28.3,0.4,31.2
28.3,0.3,24.7
28.2,0.5,16.4
28.2,0.4,10.8
28.1,0.2,6
28,0,2.1
